"6","Company-Public Limited"
"7","Company-Deemed Public Limited"
"9","Coopertaive Housing Society"
"10","Trust-Public"
"11","Trust-Private"
"12","Partnership Firm"
"13","Association of Persons"
"14","Sole properitor"
"15","Cooperative Society-Deposit Accepting"
"16","Coopertaive Society-Non Deposit Accepting"
"17","Limited Liability Partnerships ( LLP)"
"21","Company-Private Limited-Limited by Shares"
"22","Company-Private Limited-Limited by gurantee"
"24","Company-Private Limited-Unlimited"
"27","Hindu Undivided Family-HUF"
"28","Individual"
