"3","Marketing"
"4","Automobiles"
"7","Chemicals"
"8","Banks-Public Sector"
"9","Banks-Private Sector"
"10","NBFC-Non FD accepting"
"11","NBFC-FD accepting"
"12","Housing Finance-FD Accepting"
"14","Houing Finance-Non FD accepting"
"15","FMCG-Food"
"16","Consumer Durables"
"17","Advertising"
"18","Construction-Housing"
"19","Construction-Commercial"
"20","Pharma"
"21","Healthcare-Hospitals"
"22","Healthcare-Diagnostic Centers"
"23","Metals"
"24","Metals and Mining"
"25","FERTILISERS & PESTICIDES"
"26","TEXTILES"
"27","CEMENT & CEMENT PRODUCTS"
"28","TELECOM"
"29","Forest Products"
"30","Power"
"31","Oil and Gas"
"32","Trading"
"33","Hotels/Resorts"
"34","Engineering "
"35","Manufacturing"
"36","Manpower Services"
"37","Movie Exhibition"
"38","Movie Production"
"39","Logistics-Transporters"
"40","Logistics-Others"
"41","IT/ITES"
"42","Computer Hardware"
